Instance,NumVariables,OriginalOrder,Method,Status,ReducedOrder,OrderRatio,Reduced,AuxiliaryLPTime,BasisTime,TotalTime
nsa,388,389,Partial FR (DD),OPTIMAL,389,1,0,0.0299681666666667,0.000356541666666667,0.0303247083333333
beavma,390,391,Affine FR,OPTIMAL,303,0.774936061381074,1,0.0119407083333333,0.0155490833333333,0.0274897916666667
beavma,390,391,Partial FR (D),OPTIMAL,391,1,0,0.0296753333333333,0.000285666666666667,0.029961
beavma,390,391,Partial FR (DD),OPTIMAL,391,1,0,0.0324699166666667,0.000235083333333333,0.032705
f2gap40400,400,401,Affine FR,OPTIMAL,401,1,0,0.0161290416666667,0.0003275,0.0164565416666667
f2gap40400,400,401,Partial FR (D),OPTIMAL,401,1,0,0.0355644583333333,0.000307083333333333,0.0358715416666667
f2gap40400,400,401,Partial FR (DD),OPTIMAL,401,1,0,0.061595375,0.000244291666666667,0.0618396666666667
gsvm2rl5,401,402,Affine FR,OPTIMAL,402,1,0,0.010529625,0.000298916666666667,0.0108285416666667
gsvm2rl5,401,402,Partial FR (D),OPTIMAL,402,1,0,0.0312955416666667,0.000278125,0.0315736666666667
gsvm2rl5,401,402,Partial FR (DD),OPTIMAL,402,1,0,0.0324295416666667,0.000274125,0.0327036666666667
neos-3611689-kaihu,421,422,Affine FR,OPTIMAL,421,0.997630331753555,1,0.00722670833333333,0.01616025,0.0233869583333333
neos-3611689-kaihu,421,422,Partial FR (D),OPTIMAL,422,1,0,0.0302702916666667,0.000318958333333333,0.03058925
neos-3611689-kaihu,421,422,Partial FR (DD),OPTIMAL,422,1,0,0.0318239166666667,0.000249625,0.0320735416666667
22433,429,430,Affine FR,OPTIMAL,232,0.53953488372093,1,0.0553035416666667,0.0212947916666667,0.0765983333333333
22433,429,430,Partial FR (D),OPTIMAL,430,1,0,0.041897875,0.000449458333333333,0.0423473333333333
22433,429,430,Partial FR (DD),OPTIMAL,430,1,0,0.0511099166666667,0.000454416666666667,0.0515643333333333
neos-3610040-iskar,430,431,Affine FR,OPTIMAL,430,0.997679814385151,1,0.00930029166666667,0.036441125,0.0457414166666667
neos-3610040-iskar,430,431,Partial FR (D),OPTIMAL,431,1,0,0.030796,0.000322708333333333,0.0311187083333333
neos-3610040-iskar,430,431,Partial FR (DD),OPTIMAL,431,1,0,0.03311325,0.00032675,0.03344
supportcase26,436,437,Affine FR,OPTIMAL,437,1,0,0.00992154166666667,0.000355333333333333,0.010276875
supportcase26,436,437,Partial FR (D),OPTIMAL,437,1,0,0.038352,0.00031225,0.03866425
supportcase26,436,437,Partial FR (DD),OPTIMAL,437,1,0,0.0452476666666667,0.00037925,0.0456269166666667
rlp1,461,462,Affine FR,OPTIMAL,364,0.787878787878788,1,0.00776254166666667,0.0363155416666667,0.0440780833333333
rlp1,461,462,Partial FR (D),OPTIMAL,372,0.805194805194805,1,0.03550825,0.00063875,0.036147
rlp1,461,462,Partial FR (DD),OPTIMAL,372,0.805194805194805,1,0.0402420416666667,0.000573458333333333,0.0408155
neos-3611447-jijia,472,473,Affine FR,OPTIMAL,472,0.997885835095137,1,0.00821775,0.0348660833333333,0.0430838333333333
neos-3611447-jijia,472,473,Partial FR (D),OPTIMAL,473,1,0,0.0355714583333333,0.000317291666666667,0.03588875
neos-3611447-jijia,472,473,Partial FR (DD),OPTIMAL,473,1,0,0.0385431666666667,0.000363875,0.0389070416666667
k16x240b,480,481,Affine FR,OPTIMAL,466,0.968814968814969,1,0.00826291666666667,0.0288687083333333,0.037131625
k16x240b,480,481,Partial FR (D),OPTIMAL,481,1,0,0.039054125,0.000376291666666667,0.0394304166666667
k16x240b,480,481,Partial FR (DD),OPTIMAL,481,1,0,0.0412217083333333,0.000342833333333333,0.0415645416666667
nexp-50-20-1-1,490,491,Affine FR,OPTIMAL,462,0.940936863543788,1,0.00986483333333333,0.0407744166666667,0.05063925
nexp-50-20-1-1,490,491,Partial FR (D),OPTIMAL,491,1,0,0.0394088333333333,0.000465041666666667,0.039873875
nexp-50-20-1-1,490,491,Partial FR (DD),OPTIMAL,489,0.995926680244399,1,0.042793375,0.0128387083333333,0.0556320833333333
pigeon-10,490,491,Affine FR,OPTIMAL,441,0.89816700610998,1,0.0100066666666667,0.0431027916666667,0.0531094583333333
pigeon-10,490,491,Partial FR (D),OPTIMAL,491,1,0,0.0433647916666667,0.000571375,0.0439361666666667
pigeon-10,490,491,Partial FR (DD),OPTIMAL,491,1,0,0.0452515,0.000374083333333333,0.0456255833333333
neos-2629914-sudost,496,497,Affine FR,OPTIMAL,466,0.937625754527163,1,0.0730350416666667,0.0278106666666667,0.100845708333333
neos-2629914-sudost,496,497,Partial FR (D),OPTIMAL,497,1,0,0.0787744583333333,0.000531125,0.0793055833333333
neos-2629914-sudost,496,497,Partial FR (DD),OPTIMAL,497,1,0,0.0841733333333333,0.000451583333333333,0.0846249166666667
ran12x21,504,505,Affine FR,OPTIMAL,473,0.936633663366337,1,0.00971183333333333,0.0396925416666667,0.049404375
ran12x21,504,505,Partial FR (D),OPTIMAL,505,1,0,0.043979875,0.00041925,0.044399125
ran12x21,504,505,Partial FR (DD),OPTIMAL,505,1,0,0.0492794583333333,0.00039825,0.0496777083333333
ran14x18-disj-8,504,505,Affine FR,OPTIMAL,474,0.938613861386139,1,0.0142737916666667,0.027342625,0.0416164166666667
ran14x18-disj-8,504,505,Partial FR (D),OPTIMAL,505,1,0,0.04933925,0.000487041666666667,0.0498262916666667
ran14x18-disj-8,504,505,Partial FR (DD),OPTIMAL,505,1,0,0.054472,0.000408875,0.054880875
bienst1,505,506,Affine FR,OPTIMAL,379,0.74901185770751,1,0.0106515833333333,0.0378212083333333,0.0484727916666667
bienst1,505,506,Partial FR (D),OPTIMAL,506,1,0,0.0422895416666667,0.000385708333333333,0.04267525
bienst1,505,506,Partial FR (DD),OPTIMAL,506,1,0,0.0441184166666667,0.000369416666666667,0.0444878333333333
bienst2,505,506,Affine FR,OPTIMAL,379,0.74901185770751,1,0.0101929583333333,0.0280154166666667,0.038208375
bienst2,505,506,Partial FR (D),OPTIMAL,506,1,0,0.0414253333333333,0.000455666666666667,0.041881
bienst2,505,506,Partial FR (DD),OPTIMAL,506,1,0,0.0438170416666667,0.000394916666666667,0.0442119583333333
newdano,505,506,Affine FR,OPTIMAL,379,0.74901185770751,1,0.00979075,0.0293302916666667,0.0391210416666667
newdano,505,506,Partial FR (D),OPTIMAL,506,1,0,0.0422153333333333,0.000461833333333333,0.0426771666666667
newdano,505,506,Partial FR (DD),OPTIMAL,506,1,0,0.04339975,0.000471541666666667,0.0438712916666667
milo-v13-4-3d-3-0,516,517,Affine FR,OPTIMAL,181,0.350096711798839,1,0.0136955833333333,0.0355013333333333,0.0491969166666667
milo-v13-4-3d-3-0,516,517,Partial FR (D),OPTIMAL,517,1,0,0.05715525,0.000495458333333333,0.0576507083333333
milo-v13-4-3d-3-0,516,517,Partial FR (DD),OPTIMAL,517,1,0,0.0663996666666667,0.000390833333333333,0.0667905
fhnw-binpack4-18,520,521,Affine FR,OPTIMAL,521,1,0,0.0158152916666667,0.000679166666666667,0.0164944583333333
