archive,family,member,instance_id,num_vars,declared_clauses,parsed_clauses,eligible,skip_reason,solver_status,solver_objective,support_count,has_nonzero_reduction,primal_residual,solver_runtime_seconds,wall_runtime_seconds,message
inductive-inference.tar.gz,inductive-inference,ii8a3.cnf,inductive-inference.tar.gz::ii8a3.cnf,264,1552,1552,True,,OPTIMAL,-0.0,0,False,0.0,0.004923820495605469,0.015627540999958,
inductive-inference.tar.gz,inductive-inference,ii8a4.cnf,inductive-inference.tar.gz::ii8a4.cnf,396,2798,2798,True,,OPTIMAL,-0.0,0,False,0.0,0.008462190628051758,0.026669834000017545,
inductive-inference.tar.gz,inductive-inference,ii8b1.cnf,inductive-inference.tar.gz::ii8b1.cnf,336,2068,2068,True,,OPTIMAL,-0.0,0,False,0.0,0.0055389404296875,0.0184806660000163,
inductive-inference.tar.gz,inductive-inference,ii8b2.cnf,inductive-inference.tar.gz::ii8b2.cnf,576,4088,4088,True,,OPTIMAL,-0.0,0,False,0.0,0.010893821716308594,0.038881708000019444,
inductive-inference.tar.gz,inductive-inference,ii8b3.cnf,inductive-inference.tar.gz::ii8b3.cnf,816,6108,6108,True,,OPTIMAL,-0.0,0,False,0.0,0.01565384864807129,0.04995583400000214,
inductive-inference.tar.gz,inductive-inference,ii8b4.cnf,inductive-inference.tar.gz::ii8b4.cnf,1068,8214,8214,True,,OPTIMAL,-0.0,0,False,0.0,0.021311044692993164,0.07204462500004638,
inductive-inference.tar.gz,inductive-inference,ii8c1.cnf,inductive-inference.tar.gz::ii8c1.cnf,510,3065,3065,True,,OPTIMAL,-0.0,0,False,0.0,0.008031845092773438,0.02690362499998855,
inductive-inference.tar.gz,inductive-inference,ii8c2.cnf,inductive-inference.tar.gz::ii8c2.cnf,950,6689,6689,True,,OPTIMAL,-0.0,0,False,0.0,0.016317129135131836,0.0549658749999935,
inductive-inference.tar.gz,inductive-inference,ii8d1.cnf,inductive-inference.tar.gz::ii8d1.cnf,530,3207,3207,True,,OPTIMAL,-0.0,0,False,0.0,0.008581876754760742,0.027991041000007044,
inductive-inference.tar.gz,inductive-inference,ii8d2.cnf,inductive-inference.tar.gz::ii8d2.cnf,930,6547,6547,True,,OPTIMAL,-0.0,0,False,0.0,0.01665496826171875,0.05813883299998679,
